28	80000302181	烘焙的诱惑	1.55591E+22	暴走北门犀晨	趣拍	本地趣拍	yanxiaomin_YSSHY	0:02:01	0:00:37	驳回	内容审核	2019/4/30 15:40	2019/4/30 15:39
29	80000302176	新的一天新的开始呢	532627194	迪迦少女	趣拍	本地趣拍	shixin_YSSHY	0:04:08	0:00:53	通过	内容审核	2019/4/30 15:40	2019/4/30 15:37
31	80000302202	照片来一组@咪咕酱	1.48013E+12	辣第是我	趣拍	本地趣拍	zhangfei_YSSHY	0:00:08	0:00:10	通过	内容审核	2019/4/30 15:40	2019/4/30 15:39
32	80000302204	超甜的恋爱	1.55497E+22	孤独的鸭鸭	趣拍	本地趣拍	zhangfei_YSSHY	0:00:10	0:00:20	通过	内容审核	2019/4/30 15:40	2019/4/30 15:39
33	80000302174	大家帮我想一个标题可以吗	1.52916E+22	一起谈历史	趣拍	本地趣拍	yuzhen_YSSHY	0:03:42	0:00:55	通过	内容审核	2019/4/30 15:40	2019/4/30 15:37
34	80000302179	你怕黑吗	1.55497E+22	孤独的鸭鸭	趣拍	本地趣拍	zhouzhisheng_YSSHY	0:02:16	0:00:14	通过	内容审核	2019/4/30 15:40	2019/4/30 15:38
35	80000302183	跳一下手势舞	57451111	李梦欣	趣拍	本地趣拍	yanxiaomin_YSSHY	0:01:14	0:00:13	通过	内容审核	2019/4/30 15:40	2019/4/30 15:39
36	80000302201	邱子雄	MIGU_VR_144660	定格你的美	趣拍	本地趣拍	zhangfei_YSSHY	0:00:09	0:00:15	通过	内容审核	2019/4/30 15:39	2019/4/30 15:39
37	80000302156	mua~~~	57451111	李梦欣	趣拍	本地趣拍	zhouzhisheng_YSSHY	0:01:54	0:00:10	通过	内容审核	2019/4/30 15:39	2019/4/30 15:38
38	80000302182	想每天都换种颜色	116321754	小悦月	趣拍	本地趣拍	yanxiaomin_YSSHY	0:01:07	0:00:13	通过	内容审核	2019/4/30 15:39	2019/4/30 15:38
39	80000302157	喜欢你	505287740	忧郁丧先生	趣拍	本地趣拍	zhouzhisheng_YSSHY	0:01:35	0:00:38	通过	内容审核	2019/4/30 15:39	2019/4/30 15:38
